support,itemsets
0.13933333333333334,frozenset({'Apples'})
0.13566666666666666,frozenset({'Bananas'})
0.13433333333333333,frozenset({'Beef'})
0.138,frozenset({'Bread'})
0.12866666666666668,frozenset({'Butter'})
0.15266666666666667,frozenset({'Carrots'})
0.148,frozenset({'Cereal'})
0.14033333333333334,frozenset({'Cheese'})
0.12833333333333333,frozenset({'Chicken'})
0.13133333333333333,frozenset({'Chips'})
0.15866666666666668,frozenset({'Coffee'})
0.133,frozenset({'Cookies'})
0.14366666666666666,frozenset({'Detergent'})
0.138,frozenset({'Eggs'})
0.13166666666666665,frozenset({'Fish'})
0.135,frozenset({'Ice Cream'})
0.14266666666666666,frozenset({'Juice'})
0.144,frozenset({'Milk'})
0.13866666666666666,frozenset({'Onions'})
0.13433333333333333,frozenset({'Pasta'})
0.14633333333333334,frozenset({'Peppers'})
0.12833333333333333,frozenset({'Potatoes'})
0.14266666666666666,frozenset({'Rice'})
0.13966666666666666,frozenset({'Shampoo'})
0.14066666666666666,frozenset({'Soap'})
0.137,frozenset({'Soda'})
0.142,frozenset({'Tea'})
0.12966666666666668,frozenset({'Toilet Paper'})
0.14233333333333334,frozenset({'Tomatoes'})
0.14466666666666667,frozenset({'Toothpaste'})
0.14033333333333334,frozenset({'Water'})
0.13266666666666665,frozenset({'Yogurt'})
